price,city_fuel_economy,engine_displacement,highway_fuel_economy,horsepower,mileage,year
10900,23,2000,33,240,97117,2013
12000,29,1400,40,153,13797,2018
19988,15,3800,19,202,145021,2011
14243,25,2400,36,185,12303,2017
10995,18,3000,28,230,54134,2012
13700,29,1800,37,124,45871,2019
14990,19,3500,27,269,95227,2012
17499,12,5000,18,510,70954,2010
17900,20,2000,29,220,57122,2014
15500,21,2000,26,200,46861,2016
17590,16,3700,21,300,102697,2012
13995,27,2400,37,185,118414,2016
11149,23,2000,33,240,63250,2013
12940,30,1400,40,153,39634,2017
16998,18,3600,28,287,49850,2017
19370,27,2500,37,188,35151,2019
17995,18,3500,25,250,94079,2013
15483,20,2000,27,211,59309,2012
16914,34,2500,31,194,94617,2016
13873,25,2000,33,147,29033,2017
12000,19,2400,26,182,83000,2016
18995,17,4300,22,285,102721,2015
12850,29,2000,38,147,58101,2017
10995,15,3500,20,365,200718,2015
18395,17,3500,23,290,79550,2014
18492,25,1400,30,138,40779,2019
15995,24,2400,32,185,42747,2020
11900,20,3500,29,280,102490,2012
16800,30,1800,38,139,29049,2020
17991,20,2000,29,245,36365,2017
12499,16,3600,23,288,110540,2012
19998,23,2000,30,245,35352,2017
13569,25,2000,30,161,49725,2019
17400,23,1800,34,170,21302,2017
19551,30,1500,38,192,31078,2018
17755,12,3500,17,290,110765,2015
18753,24,2500,33,178,19016,2017
11988,18,3500,25,285,142363,2014
19850,31,1500,36,130,15370,2018
13995,18,3500,25,266,107462,2013
14693,17,3600,24,288,95989,2013
16990,22,2000,28,245,29318,2017
18500,21,2400,29,180,38509,2017
12600,40,2500,38,200,104312,2014
18500,22,2400,30,180,31243,2019
14000,26,2500,37,182,52130,2016
15864,22,2000,30,240,31792,2014
16997,23,2000,29,166,36974,2018
15490,26,2500,33,170,42412,2015
14749,25,1400,33,138,22701,2017
18500,15,3600,22,281,55151,2017
15995,25,2400,31,185,91329,2016
10999,25,2500,35,178,44055,2014
16995,17,3500,24,290,124037,2015
17989,25,2400,35,185,15600,2018
12800,22,2400,32,182,72607,2013
18998,21,3500,28,260,49884,2017
16859,12,3600,18,283,40501,2019
13995,28,2500,39,203,41669,2018
19949,17,3600,25,283,54646,2019
19775,31,2000,40,158,23637,2018
11997,28,1800,36,137,31822,2018
16995,17,3500,22,302,76646,2012
18544,26,1500,32,170,19876,2019
12895,19,3500,27,285,64205,2013
19772,22,2400,30,180,26236,2017
12989,30,1000,40,123,27787,2017
16099,30,2000,39,158,16646,2017
15743,19,3600,30,323,57370,2015
18999,26,2500,35,184,40235,2017
13995,19,3600,31,292,109421,2015
17508,15,5300,21,320,131175,2012
12293,17,3600,25,283,104354,2015
15950,12,5600,17,317,129334,2008
17995,21,2400,29,180,37494,2017
16250,24,2000,26,131,38125,2017
14222,16,3600,24,283,62147,2017
17477,31,1500,36,128,15841,2018
18142,28,1800,35,132,30752,2018
15443,22,2500,29,176,84467,2014
19488,23,2000,30,164,22381,2019
15795,28,1800,35,132,26480,2018
11999,24,2400,35,200,74846,2013
17995,17,2000,27,274,27103,2013
19855,16,3600,23,305,82045,2015
16489,21,3500,28,260,46194,2015
14590,28,2000,37,147,37574,2017
15495,24,2400,35,185,70214,2016
10977,25,2500,35,178,104347,2015
17488,26,1500,32,170,28785,2018
15295,28,2000,37,147,26085,2019
19995,16,3500,23,290,49440,2017
19750,25,2000,36,174,33845,2019
19991,15,3800,19,202,96715,2010
16759,51,1600,46,139,25934,2018
17817,15,3600,22,281,75032,2016
17900,19,3600,30,292,51500,2017
18981,17,3600,25,283,45218,2017
13998,21,2400,29,180,64621,2018
18291,26,2500,35,187,24505,2018
13667,43,2000,41,188,45142,2019
17900,18,3500,25,287,65479,2015
16995,20,2300,29,310,54520,2016
16999,23,2000,30,164,51639,2017
15998,22,2400,31,180,59481,2016
19988,28,2500,39,203,37105,2019
13490,27,2400,36,185,95614,2014
17944,26,2500,32,170,34584,2017
12995,22,2400,32,182,99246,2015
12900,29,1800,37,124,47922,2018
17487,24,2400,34,185,35524,2017
16995,30,3500,28,295,105366,2011
12495,29,2000,38,147,66602,2017
19724,21,3500,31,268,84577,2014
19491,26,2500,33,170,32731,2019
15788,30,2000,41,155,43246,2016
19500,26,2500,35,184,36342,2017
17950,29,1500,36,160,37635,2019
14998,28,2000,37,147,40384,2018
15790,31,2000,40,158,38637,2018
19881,27,2000,32,146,27180,2018
16644,15,6200,21,403,83052,2013
14797,28,1800,35,132,29822,2019
15990,27,2500,38,179,23950,2018
18175,22,2500,29,197,29845,2019
11999,17,3600,25,283,82973,2015
18991,26,2500,35,203,83892,2019
13399,29,1400,40,153,47849,2018
17998,25,2500,32,170,38997,2017
10999,33,1500,42,106,58012,2016
15900,33,1500,40,128,19137,2018
14995,15,6200,21,403,150000,2010
15755,28,1800,36,132,39580,2017
19950,15,4000,18,239,97787,2007
14999,28,1400,40,150,32567,2017
11980,16,3700,21,300,87861,2012
16097,24,2400,32,185,22792,2020
12998,29,2000,37,147,21584,2018
13977,22,2400,26,172,62028,2016
10995,19,2500,25,265,132709,2011
13477,21,2000,28,240,100685,2016
19998,17,3600,25,283,36723,2019
13000,25,1800,36,170,33101,2015
18990,24,2500,33,178,24067,2017
15989,26,1500,32,170,45506,2018
16500,17,3500,24,250,101055,2012
18995,26,2400,34,189,32277,2017
16927,20,2000,30,245,68475,2016
18971,26,1500,32,170,38462,2018
14995,29,1800,38,130,14408,2016
18000,27,1800,32,141,61822,2016
12800,14,4800,19,302,153161,2010
10998,16,3600,23,257,94250,2009
17989,16,4000,20,236,121766,2007
10995,17,3600,24,281,119783,2015
17995,19,3000,28,315,117880,2013
15763,25,1400,33,138,18168,2015
14999,18,3500,24,270,153432,2013
19900,22,2000,28,245,35967,2018
15854,27,2000,37,155,23298,2017
18555,16,3600,23,301,81317,2017
17980,12,3600,18,283,46966,2019
14998,22,1600,30,201,20323,2016
15994,22,2400,30,185,64711,2014
17532,25,2400,35,185,32675,2018
15995,23,2000,30,245,55208,2017
13999,53,1500,46,99,61668,2016
10995,16,4000,24,210,103015,2010
16497,18,3700,27,300,73972,2016
14995,24,2400,31,180,54090,2017
10887,22,2000,30,240,97591,2013
13500,25,2500,35,178,56275,2015
15015,26,1600,31,130,18104,2019
17800,26,1400,31,138,38448,2017
13498,28,1800,34,141,63258,2017
13250,17,3600,24,288,106840,2013
19995,12,3600,18,283,38673,2019
12994,17,3600,25,283,85568,2016
17289,23,2000,30,245,23476,2017
14889,16,4000,21,245,166348,2005
14599,27,2500,39,182,56503,2017
10495,18,3000,27,230,129314,2011
14491,21,2000,32,245,53872,2017
13995,15,3800,19,202,139723,2009
13998,25,2400,38,185,54651,2016
14473,16,3600,22,288,120283,2015
15765,25,2400,31,185,73072,2016
13390,22,2400,30,185,101337,2013
16998,28,2000,37,147,16770,2019
13901,17,3600,25,283,71239,2014
15295,27,1500,36,160,40453,2017
13795,26,2500,33,170,51780,2015
15999,21,2400,28,185,49699,2017
17987,27,1500,36,160,42414,2017
11994,24,2000,36,240,67232,2015
17991,24,2400,34,185,44487,2017
13000,11,5400,15,255,70262,2011
11499,22,2000,33,240,92560,2013
18973,30,1500,36,180,22409,2018
18999,24,2400,32,185,32012,2020
17995,21,3500,28,260,71598,2015
14495,17,3600,24,288,95778,2014
14900,23,2000,30,164,59766,2018
19998,19,2400,25,173,12235,2019
14588,23,1800,34,170,36016,2017
10995,30,2000,40,140,68544,2014
18700,22,2000,28,245,30751,2018
12700,17,3600,24,290,123911,2014
14785,17,3600,24,288,96360,2013
12995,11,6000,16,323,105397,2011
18994,22,2000,31,245,22160,2017
11995,25,2000,30,161,60503,2017
16990,17,3600,25,283,37056,2019
17751,26,2500,35,184,28430,2018
16900,22,2400,32,182,66939,2016
11500,23,2400,34,192,67166,2015
12399,24,2400,35,185,67364,2016
14900,26,2400,33,185,139208,2015
15999,15,5300,21,315,99162,2010
11990,23,2400,36,184,71877,2016
10998,19,3500,26,269,104952,2010
17995,17,3500,24,280,91640,2017
13238,29,2000,38,147,25322,2017
17000,17,3600,25,283,42753,2019
15995,20,2000,24,200,65553,2017
13994,24,2000,35,150,101992,2013
11999,23,3000,36,265,132059,2011
19900,20,2000,27,245,22282,2017
15990,29,1400,40,153,24910,2018
16394,21,2000,26,164,33950,2017
16990,22,2500,29,176,114957,2015
14999,19,3500,28,248,96178,2014
15987,28,1800,35,132,34442,2019
13162,24,2400,35,185,123359,2015
17699,21,2400,27,180,64115,2017
19985,18,3500,26,270,68005,2013
10999,24,2000,34,160,32840,2018
19995,15,5000,21,385,130970,2015
16995,31,1500,40,174,60537,2017
13600,18,3500,27,248,94522,2013
16354,30,1800,38,139,27671,2020
19995,26,2400,34,185,35151,2017
14694,21,2000,28,240,57881,2015
19998,18,3600,28,305,35038,2019
11995,29,1800,37,130,46627,2017
14990,28,2000,37,147,35714,2019
16995,22,2000,28,245,63979,2018
17449,20,2000,30,245,54891,2015
15253,23,2000,30,245,49445,2017
14495,21,2400,29,185,68847,2016
16751,32,1500,42,174,28235,2017
17900,55,1600,54,139,23575,2017
10182,24,2000,29,148,91836,2014
11395,17,3600,25,283,101420,2018
10990,18,3600,30,300,86356,2015
18998,25,2000,30,161,19257,2019
12995,25,2500,32,170,99518,2016
17999,16,3600,23,301,67842,2015
15997,23,2000,31,164,47180,2016
16500,28,1800,35,132,30508,2019
13000,14,5400,20,320,155248,2010
11499,14,4000,20,210,124092,2008
16436,17,3500,25,280,67965,2015
19995,21,2500,29,168,13355,2019
15140,25,2000,32,141,32793,2017
17988,28,1800,36,132,54268,2017
16500,20,2000,27,245,90197,2017
17250,26,2500,35,184,36806,2017
13999,30,1400,40,147,16112,2019
18733,21,2000,31,245,36636,2017
12555,12,6200,18,403,179150,2007
16817,22,2500,29,176,81209,2015
18000,30,2000,39,158,25509,2018
15995,30,1400,40,153,13832,2017
10045,13,5400,17,300,137428,2008
16995,25,2500,32,170,29057,2017
13900,25,1800,38,170,78252,2016
19900,17,3600,25,283,44000,2019
12933,19,2400,26,182,91687,2016
11700,23,2400,31,185,100499,2013
13389,30,1400,40,153,33106,2017
11988,19,3000,26,306,97583,2012
17300,24,2500,33,178,30621,2017
19000,24,2000,26,131,17330,2019
11307,23,2400,36,184,81508,2016
13750,17,3600,24,288,87958,2013
11990,21,2400,28,180,102392,2015
10299,17,3000,26,230,75000,2011
12990,21,2500,32,175,78834,2018
15981,28,2500,39,188,33039,2020
13990,27,2500,39,182,30610,2017
17999,21,2400,25,181,33894,2017
19000,31,2000,40,158,13840,2018
15990,23,2000,33,240,86735,2013
16688,26,2500,33,170,52568,2018
19390,21,2400,25,181,33719,2017
10788,29,2000,37,147,32491,2018
10790,43,2500,39,200,124728,2013
18400,26,1500,32,170,26919,2018
11995,18,3500,26,280,118738,2010
14500,22,2000,28,245,81862,2017
12495,20,3000,29,300,117994,2011
15895,25,2000,36,174,39092,2018
18495,24,2500,33,178,10216,2017
13498,25,2000,33,147,18395,2017
14998,27,2500,38,182,47977,2015
17299,29,2000,34,146,27396,2018
15440,28,1800,36,132,26153,2017
14174,22,2500,31,168,41170,2016
19990,22,2000,29,245,44857,2019
18940,29,2000,40,147,11275,2020
19000,25,2500,32,170,22023,2017
14532,18,3000,27,270,44360,2012
16500,31,1500,36,128,11541,2018
17495,21,2000,30,259,21270,2016
19845,26,2500,33,170,35397,2019
15888,28,1800,36,137,53249,2017
18995,26,2500,33,170,49996,2018
14850,24,2400,34,185,38521,2017
15998,29,2000,38,147,15678,2017
10000,19,3500,26,290,130244,2014
18900,21,2400,31,182,25815,2017
17699,31,2000,40,158,25346,2018
14725,29,2000,37,147,13739,2018
10888,26,1400,38,138,59387,2015
15977,17,3600,25,283,44000,2019
16590,27,1500,36,160,20941,2017
11800,21,3000,32,240,72000,2011
14499,27,2500,39,182,45377,2017
13910,25,1600,30,130,22041,2018
19940,21,3500,28,260,59593,2018
14900,22,2400,26,172,57054,2017
14976,27,2000,33,147,41589,2019
16245,20,2400,25,172,30350,2017
18500,26,2400,34,189,48628,2017
15990,22,2000,28,245,67091,2017
13700,20,2500,27,204,94550,2012
14200,26,2400,35,189,71094,2013
16995,20,3000,30,320,109435,2015
16300,27,1800,32,141,73787,2016
18888,26,2500,35,187,33524,2019
16898,22,2000,25,164,38371,2019
15975,17,3600,25,283,64800,2017
13900,17,3600,25,305,124833,2014
19995,28,2500,39,188,40206,2019
15991,19,3600,30,323,81329,2015
16598,27,2500,38,179,26802,2018
13904,20,2000,29,272,100701,2014
11995,23,2400,31,185,130001,2014
17562,43,2000,41,188,45363,2019
16988,15,5300,21,320,103181,2011
17995,28,2500,39,188,36348,2019
14998,25,1400,33,138,32823,2017
13995,51,1800,48,134,93927,2015
19991,15,6200,21,403,111626,2011
18050,28,1800,35,132,62790,2018
14505,25,2500,36,196,42018,2015
16497,25,2000,36,174,22249,2019
17795,24,2400,33,185,33129,2019
17000,30,1400,40,147,10718,2019
18595,19,2300,27,280,89963,2017
14999,28,1800,35,132,43602,2018
19830,58,1800,53,121,26329,2019
19495,25,2000,37,240,36508,2015
10995,14,5400,18,300,85592,2004
18374,21,3500,27,265,72151,2015
15990,23,2000,32,245,45439,2015
18995,28,2500,39,203,31871,2018
14449,28,2000,37,147,34339,2019
19988,26,2400,34,189,45558,2017
17297,20,2000,29,245,32721,2019
13990,22,2400,26,172,71262,2016
17998,23,2000,30,245,31549,2017
17998,19,3600,29,305,54611,2016
19500,22,2400,31,180,29385,2019
15991,30,1400,40,147,34415,2019
12639,30,1400,40,147,37116,2019
19995,22,2500,28,176,22238,2017
18018,26,2500,33,170,39013,2019
17793,16,3600,23,301,71561,2015
16700,25,2500,32,170,40130,2017
19777,26,2400,33,185,40540,2015
14649,15,5300,21,320,128475,2010
10450,21,2400,29,190,113863,2013
18990,25,2500,32,170,43709,2017
19500,28,2500,39,203,35957,2018
18994,12,3600,18,283,32353,2019
12990,23,2400,31,185,97351,2012
14990,26,2500,33,170,59195,2014
18991,27,2000,31,144,34894,2018
13686,24,2400,34,185,33184,2017
17995,15,3600,22,281,95679,2016
16680,12,3600,18,283,42870,2019
14598,17,3500,24,290,90801,2013
19999,26,2000,30,252,40269,2018
17998,25,1800,36,170,10509,2016
11495,25,2400,37,185,95817,2015
16990,15,3800,20,205,98639,2009
12995,20,2400,29,182,140346,2016
14987,17,3600,24,308,91936,2015
14187,23,2400,36,184,55549,2016
19926,28,2500,39,188,32828,2019
10990,15,3700,20,300,109630,2008
17991,25,2400,31,185,41367,2016
10383,28,1800,39,140,96837,2013
19000,22,2000,28,245,22881,2019
12487,19,3500,24,260,103146,2012
19955,22,2500,28,176,56272,2017
16593,20,2700,26,182,76557,2014
18000,29,2000,34,146,27144,2018
14999,24,2500,30,173,81147,2014
17955,22,2400,32,182,53817,2016
14399,30,2000,40,140,51181,2013
12988,20,2400,29,182,84948,2015
14990,27,1400,33,138,33265,2018
17850,25,2500,32,170,43895,2019
12995,21,2500,27,179,86491,2010
17000,12,5600,18,317,79000,2011
11500,24,2000,32,173,99158,2017
12347,20,2500,29,250,45703,2013
16999,18,3500,25,270,91534,2013
14999,17,3000,25,225,67536,2012
18990,20,2000,30,211,66810,2013
11982,16,3600,24,283,99252,2016
16998,21,2400,26,185,41362,2016
10598,25,2500,35,178,94539,2012
16589,22,2000,32,245,39805,2016
14995,26,2500,33,170,69927,2017
14995,11,6300,15,503,127009,2009
16792,28,2000,37,155,21665,2017
10995,26,1400,38,138,65537,2016
18499,26,2400,34,189,47823,2017
17993,28,2500,39,188,42728,2019
16920,24,2500,33,178,33088,2017
13988,20,2000,30,245,81590,2015
12985,29,1800,38,132,53985,2016
15995,20,2400,28,182,65935,2017
10966,26,1400,38,138,47308,2014
11900,24,2000,35,173,41422,2014
13922,14,6000,20,367,177066,2009
15388,17,3600,25,283,45181,2018
18989,20,2000,27,245,80420,2017
17724,28,1400,38,153,35393,2019
14495,22,2400,31,180,63289,2015
17954,21,2000,26,164,38240,2017
10995,15,3700,19,210,81661,2008
16777,25,2000,30,161,21671,2019
14495,18,3300,26,290,88588,2016
18499,25,2500,32,170,34549,2019
17154,20,2000,26,200,51153,2016
19377,24,2400,33,185,24457,2019
18623,23,2000,30,164,35323,2019
10199,24,1800,36,170,77377,2015
18999,23,2000,30,245,41083,2017
18999,17,3000,24,241,122897,2014
16745,29,1800,37,124,16930,2019
18870,17,3000,24,241,91979,2014
17477,23,2000,30,164,39863,2019
12495,20,2400,27,176,94097,2013
12933,28,1800,39,140,69057,2013
10900,25,2000,33,148,53189,2014
16999,25,2400,35,185,22977,2018
13388,23,2400,28,168,51245,2016
16500,14,3500,18,310,190468,2018
16995,21,2000,30,220,60388,2015
15999,27,2400,36,185,44317,2017
15850,32,1500,40,106,29617,2018
17997,27,1800,31,141,30489,2017
14417,21,2400,32,180,50990,2016
15000,26,2400,33,185,105400,2016
15995,19,3600,29,305,92811,2014
19542,14,4400,20,400,57831,2012
10995,26,2500,38,184,120892,2014
16495,23,2000,30,245,42018,2019
19900,21,3500,31,268,59264,2013
19088,22,2500,29,176,44296,2016
18866,22,2400,30,180,16428,2019
12982,30,1400,40,147,31437,2019
12800,29,1800,37,130,72205,2017
12488,14,5700,19,381,196972,2008
11999,23,2000,32,245,100841,2015
14988,15,5000,21,360,97639,2014
18883,13,5700,17,381,116117,2010
15999,29,1400,40,153,69576,2018
15750,29,1800,37,124,25253,2019
16000,27,2500,39,182,29529,2016
18499,28,2500,39,203,33781,2019
18288,23,2000,30,245,25606,2018
10098,27,2500,39,182,98493,2016
14000,17,3000,24,228,63172,2011
13990,22,2500,31,168,53130,2015
14000,28,1400,38,150,73984,2017
14495,22,2500,32,169,18325,2011
16593,26,2500,33,170,34662,2019
18997,23,2000,30,164,14575,2017
12989,21,2400,31,182,88747,2017
17833,25,2400,36,185,17990,2017
13400,28,2500,39,188,35216,2019
14025,28,1600,37,130,45775,2019
10999,22,2500,33,202,91764,2013
18898,31,2000,40,169,25466,2020
16490,19,3500,28,248,170772,2016
15995,22,2400,30,185,48778,2014
10500,21,3500,31,268,118537,2013
13723,25,1400,33,138,56045,2015
18995,16,5300,22,355,168507,2015
19985,23,2500,29,187,28825,2017
12650,22,2000,34,240,63155,2015
14995,18,3500,25,287,94099,2014
12998,29,1800,37,130,30999,2017
17999,20,2000,27,245,67219,2017
17995,22,2000,29,245,61248,2017
10900,19,3500,29,288,84341,2013
14957,28,1800,35,141,50451,2016
15998,22,2400,29,181,64723,2017
17990,28,1800,35,132,36010,2019
15977,21,2400,29,180,49281,2016
16997,25,2400,30,166,45709,2018
12995,22,2000,31,200,55622,2014
17989,22,2000,28,245,13834,2018
16200,25,2500,34,175,32001,2017
13499,21,2400,27,172,71316,2017
16494,25,2500,32,170,32637,2017
14995,21,2400,29,178,74795,2015
16997,22,2000,28,245,32303,2017
10995,23,2500,32,168,114669,2015
16990,28,1800,36,137,33224,2018
15988,25,2500,32,170,60631,2014
11555,22,2400,30,185,102000,2012
15999,12,3600,18,283,29197,2019
13995,29,1800,37,130,47551,2017
13488,22,2400,31,180,42502,2015
15550,30,1400,40,153,17463,2017
15495,26,2500,32,170,61227,2017
17900,22,1300,30,177,11125,2019
12000,27,2400,36,185,80567,2014
16105,28,1800,35,132,19526,2018
18998,24,2500,31,176,50632,2016
14998,25,2500,32,170,81214,2016
13995,19,3500,28,248,108711,2014
18998,21,2000,26,200,39721,2016
13200,29,1800,37,130,41328,2017
18899,43,1800,40,134,38091,2017
11444,22,2000,33,240,115393,2014
17990,27,2400,36,185,26438,2017
16998,19,3500,26,260,84055,2015
19238,21,2400,25,181,30535,2017
12880,13,5700,19,341,99206,2010
15895,29,1400,38,153,41964,2017
14900,21,2400,31,180,62964,2017
16788,27,1500,36,160,14083,2018
18777,24,2500,33,178,36501,2017
16099,19,3500,27,273,79479,2015
12877,25,2000,30,161,28105,2019
16995,25,2500,34,175,46495,2018
17988,22,2400,29,181,21019,2019
19000,25,2000,36,174,28742,2019
11549,25,1400,33,138,33876,2017
12598,28,2000,37,147,59588,2017
15599,24,1500,30,170,72343,2018
17583,20,2400,28,182,54396,2017
17330,21,3500,31,268,95274,2014
11882,18,3500,24,260,119754,2014
19500,22,2500,28,176,27845,2017
10495,28,1800,39,140,65452,2012
18134,27,2400,36,185,32235,2017
12995,13,5400,17,255,97876,2012
15900,29,1800,37,130,31692,2017
16856,18,3600,27,305,64636,2014
16200,23,2000,32,240,48517,2016
11666,18,3600,27,305,135533,2013
18995,16,3500,23,365,91064,2014
10590,28,1800,38,145,75034,2016
15995,25,2500,34,175,35820,2017
13950,14,4700,18,263,117285,2007
13249,54,1800,50,121,107391,2016
12794,17,3600,25,283,113164,2015
13840,23,2500,31,180,43557,2013
12999,22,2400,29,181,70709,2017
15650,17,3500,24,290,129036,2016
10999,21,2000,28,240,122156,2013
19485,25,2400,36,185,19808,2017
13500,24,2500,30,184,108645,2015
15798,25,2000,32,141,34019,2019
12990,22,2500,31,168,89520,2016
17656,39,2000,46,192,49096,2017
15814,25,2000,30,161,35337,2019
11928,22,2000,34,240,67033,2015
15900,23,2000,30,245,65226,2017
14500,21,2000,31,245,78544,2017
14894,29,1800,37,124,34762,2019
14488,30,1400,40,153,53433,2017
12095,23,2400,34,192,79429,2015
17998,19,2400,25,173,35543,2018
16990,17,3600,25,283,34272,2016
12777,17,3600,25,283,75940,2015
16988,28,1800,35,132,24330,2019
15995,24,1400,30,138,34146,2017
17388,28,1800,35,132,33453,2018
14311,31,2000,40,158,86959,2018
13395,18,3300,24,290,85175,2014
16688,23,1500,34,181,25086,2019
15899,30,1400,40,147,24899,2019
15490,18,2500,25,250,30072,2015
13800,17,3500,24,262,79831,2012
17557,22,2000,28,245,35825,2017
15788,27,1400,33,138,33434,2018
17579,27,1400,33,138,19157,2018
18795,22,3500,30,300,61239,2016
18978,17,3600,25,283,35990,2019
15998,21,2500,27,179,23821,2012
10550,22,2500,32,169,77185,2011
16299,22,2400,29,181,14453,2017
15495,14,5700,20,360,168828,2014
15505,18,3500,25,285,63414,2014
17995,19,3600,26,295,64422,2016
15894,23,2000,30,164,39609,2019
11880,15,6200,21,403,224509,2011
11850,26,1600,32,181,56296,2011
18879,25,2500,32,170,40395,2019
19995,43,2000,41,188,15710,2019
11995,25,1800,37,170,90934,2015
12999,17,3000,23,300,99337,2013
17995,17,3600,25,283,36267,2018
15988,28,1800,35,132,21730,2019
14199,22,2000,29,240,65996,2015
11777,17,3600,25,283,117301,2012
11988,19,2400,25,190,101578,2016
15000,28,1800,36,132,26525,2017
13995,25,2500,35,178,58165,2012
17999,27,1500,36,160,34753,2018
17895,24,2500,33,178,41531,2017
17995,22,2000,29,245,55483,2017
17888,14,5000,21,302,58994,2005
15404,28,1800,36,132,18911,2017
